factory_id,product_type,production_cost_per_unit,labor_hours_used,inventory_level,lead_time_days,defect_rate_percentage,market_demand_index,supply_chain_efficiency_score,profitability_flag
202,Fabric,292,1021,7599,24,3.75,81,63,1
535,Yarn,250,1144,13418,28,4.13,67,66,1
448,Fabric,285,844,13013,25,9.7,10,97,0
370,Ready-made garment,64,1531,17330,7,9.3,22,97,0
206,Yarn,193,1610,12427,17,3.03,15,73,0
171,Cotton,126,1651,2750,4,0.66,38,70,0
288,Ready-made garment,358,1539,14108,13,9.21,75,87,0
120,Yarn,489,1395,3181,20,4.92,83,66,0
202,Ready-made garment,312,1328,18285,26,2.64,40,84,0
221,Yarn,234,1421,3907,19,1.4,81,68,1
566,Ready-made garment,104,771,7261,4,0.15,50,94,0
314,Ready-made garment,357,1676,16633,25,5.13,48,68,0
430,Yarn,53,1231,17927,13,4.08,66,86,1
558,Cotton,348,736,14055,1,8.36,37,85,0
187,Cotton,89,1123,891,2,11.72,40,89,0
472,Ready-made garment,279,251,5319,7,2.48,22,87,0
199,Ready-made garment,426,112,6484,25,2.92,80,51,0
459,Cotton,335,814,18169,23,4.05,60,53,1
251,Cotton,187,1202,6863,17,5.59,74,66,1
230,Fabric,152,1005,5627,29,8.37,54,86,0
249,Cotton,56,1677,7089,7,4.22,62,41,1
408,Ready-made garment,213,1292,11126,22,1.25,66,76,1
357,Yarn,468,348,13012,13,8.76,35,98,0
443,Cotton,472,1244,16200,17,9.54,25,84,0
591,Fabric,469,486,4537,1,2.97,21,96,0
513,Fabric,414,538,7354,28,1.64,25,57,0
393,Fabric,325,1395,2043,2,6.33,63,52,1
485,Yarn,98,399,17675,6,2.5,61,48,1
291,Cotton,145,820,14350,12,4.49,98,68,1
543,Cotton,108,572,13368,13,9.33,92,95,0
376,Cotton,280,1281,6598,20,2.64,80,49,1
260,Yarn,226,1106,7948,20,9.68,85,59,0
559,Yarn,139,732,7711,22,8.09,33,76,0
413,Ready-made garment,331,1350,8298,9,2.64,67,68,1
121,Fabric,85,520,13152,17,6.32,48,45,0
352,Fabric,220,1055,2216,18,7.37,78,80,0
335,Cotton,175,1072,4136,8,2.4,10,65,0
444,Yarn,348,123,12056,8,1.74,80,61,1
148,Yarn,404,1865,8370,27,6.37,99,93,0
574,Cotton,253,637,14182,11,8.33,97,82,0
158,Cotton,338,1693,12865,22,5.58,70,86,1
269,Ready-made garment,405,876,8880,22,0.84,57,77,0
575,Fabric,146,737,6226,28,11.1,71,65,0
287,Fabric,287,1910,8057,8,8.34,90,56,0
563,Fabric,222,639,3218,18,7.45,13,40,0
370,Ready-made garment,350,1002,19289,18,7.72,89,70,0
289,Cotton,137,1936,8387,13,4.78,78,48,1
545,Cotton,448,1251,8503,1,11.81,78,65,0
274,Fabric,400,1217,16023,15,1.59,61,89,0
545,Fabric,66,1826,9594,22,8.87,55,92,0
150,Ready-made garment,189,520,9032,6,5.05,26,96,0
463,Yarn,303,1395,19765,6,10.57,94,45,0
154,Yarn,327,583,13853,13,8.61,39,96,0
343,Fabric,200,1128,13685,27,6.75,58,85,1
419,Ready-made garment,395,256,15673,2,11.25,60,41,0
230,Fabric,383,151,1143,23,10.95,42,81,0
584,Yarn,189,342,16904,19,0.63,96,66,1
406,Fabric,163,1786,11764,17,2.31,67,40,1
234,Yarn,117,873,1177,1,8.11,48,69,0
120,Yarn,415,519,16431,14,11.06,80,57,0
428,Yarn,228,1940,9791,16,5.16,46,73,0
266,Cotton,174,524,3150,15,0.46,80,60,1
373,Cotton,446,179,3969,9,7.72,24,40,0
487,Fabric,362,794,8386,19,2.34,70,86,0
188,Yarn,360,453,10756,8,6.63,19,71,0
415,Cotton,387,1742,12092,15,4.62,29,82,0
113,Fabric,412,1789,11563,10,6.7,18,73,0
341,Fabric,461,392,11122,23,11.19,79,86,0
364,Fabric,407,816,6184,29,5.83,29,92,0
445,Fabric,282,1239,19571,2,0.41,73,53,1
152,Fabric,477,628,13957,18,6.97,94,44,0
485,Ready-made garment,196,579,7096,20,3.91,16,94,0
439,Yarn,479,1411,15651,2,9.34,73,75,0
191,Fabric,160,1791,18300,21,5.64,57,93,1
466,Ready-made garment,412,576,7574,12,8.9,56,71,0
543,Yarn,407,124,991,10,10.91,73,93,0
554,Cotton,287,530,17643,12,4.35,76,48,1
527,Fabric,52,1401,18972,7,11.87,54,84,0
363,Ready-made garment,260,416,711,2,1.8,26,74,0
530,Cotton,453,737,14144,25,7.73,60,64,0
134,Ready-made garment,74,1935,8475,1,0.42,52,50,1
305,Yarn,380,457,4222,2,2.56,75,85,0
180,Yarn,233,1399,12209,23,7.61,85,80,0
519,Cotton,110,789,10657,28,0.55,22,52,0
149,Ready-made garment,172,443,17187,21,1.22,85,69,1
459,Fabric,104,1554,4272,17,3.49,36,73,0
487,Fabric,212,658,18665,20,6.91,99,71,1
101,Cotton,236,811,14621,8,0.19,56,69,1
489,Cotton,88,662,3725,21,5.79,49,57,0
153,Cotton,234,538,9499,12,7.51,78,78,0
205,Ready-made garment,132,1585,11882,2,4.83,41,95,0
359,Fabric,244,1930,1853,9,0.81,54,42,1
409,Fabric,83,1393,8871,17,7.33,89,46,0
576,Fabric,162,1832,9572,17,7.27,83,78,0
290,Cotton,474,1554,18714,10,6.07,46,94,0
501,Fabric,455,1144,5198,13,8.32,24,73,0
317,Yarn,279,242,19684,5,2.49,84,47,1
143,Cotton,332,1883,7402,14,8.14,18,82,0
261,Fabric,454,967,17106,14,1.94,91,87,0
301,Ready-made garment,474,452,2737,15,4.71,64,97,0
545,Cotton,336,1588,19462,25,0.81,18,71,0
583,Yarn,204,1116,2278,22,9.83,73,79,0
369,Yarn,214,567,17504,5,6.46,50,53,0
450,Ready-made garment,499,1636,16805,22,11.65,24,44,0
403,Ready-made garment,231,1587,13005,6,11.31,45,94,0
370,Cotton,288,976,6879,9,11.98,45,46,0
555,Cotton,186,1973,4763,29,1.22,74,49,1
561,Yarn,388,1517,11519,9,7.28,37,59,0
314,Ready-made garment,475,1018,2740,21,4.89,42,60,0
351,Cotton,469,1909,15077,4,6.39,74,67,0
289,Yarn,315,1876,8543,1,3.71,63,68,1
395,Ready-made garment,236,1181,1862,22,0.58,15,45,0
312,Yarn,89,1249,19124,23,8.49,84,77,0
307,Fabric,359,940,7035,23,11.59,57,81,0
336,Ready-made garment,216,977,7244,15,6.39,78,80,1
437,Cotton,440,1584,8784,14,3.95,83,42,0
466,Cotton,309,151,18122,1,11.26,37,76,0
152,Fabric,192,1111,6992,6,4.38,25,56,0
379,Ready-made garment,253,1858,8002,8,10.97,35,72,0
509,Yarn,225,913,3970,3,10.27,59,49,0
316,Cotton,311,1998,4701,17,6.34,63,76,1
351,Fabric,301,368,5851,29,8.12,87,72,0
287,Fabric,378,195,15827,23,8.4,22,98,0
479,Ready-made garment,468,372,16417,20,7.69,74,67,0
592,Ready-made garment,249,1446,13988,28,1.93,44,62,0
140,Cotton,248,1696,5913,5,8.31,88,81,0
256,Fabric,245,1956,7932,18,0.04,38,95,0
114,Yarn,363,1816,14331,7,8.52,40,85,0
400,Fabric,126,232,11926,17,6.66,21,97,0
164,Yarn,68,1027,4128,15,3.12,78,87,1
444,Yarn,111,188,18652,20,9.65,41,89,0
426,Cotton,376,784,13864,24,4.86,19,90,0
108,Fabric,443,923,5852,16,5.83,14,85,0
443,Yarn,330,104,3401,13,0.33,36,49,0
228,Ready-made garment,477,456,15518,28,4.82,48,47,0
591,Yarn,299,1466,18425,7,2.01,30,55,0
235,Ready-made garment,276,303,13738,15,3.31,25,82,0
571,Ready-made garment,176,1797,2591,23,3.03,38,71,0
162,Fabric,107,1696,11342,23,0.55,88,88,1
238,Ready-made garment,458,570,10423,28,5.53,80,84,0
598,Yarn,425,563,14327,5,6.27,91,64,0
180,Ready-made garment,253,596,15468,27,6.85,92,76,1
491,Fabric,292,801,8783,12,5.55,90,54,1
262,Cotton,416,936,5354,28,10.43,23,55,0
518,Yarn,473,162,5549,10,0.45,50,81,0
388,Yarn,381,1679,6057,19,7.37,83,56,0
478,Fabric,375,338,4932,10,10.39,98,66,0
360,Fabric,301,639,12506,29,0.49,50,86,0
589,Fabric,443,297,8487,7,5.96,53,65,0
330,Fabric,371,880,5520,24,7.07,82,47,0
140,Yarn,425,1806,19898,23,2.29,25,80,0
127,Cotton,458,129,18900,22,3.03,33,80,0
234,Ready-made garment,248,765,1477,15,9.43,30,50,0
300,Ready-made garment,392,1332,7534,9,6.81,68,66,0
427,Cotton,289,1186,1758,29,3.79,48,48,0
367,Cotton,188,1964,12547,27,9.18,80,93,0
517,Cotton,171,1180,18181,6,8.96,16,50,0
132,Fabric,469,1955,10670,21,4.14,37,46,0
147,Yarn,98,1843,7897,11,5.86,60,67,1
506,Yarn,353,1556,7372,6,7.97,44,69,0
161,Yarn,164,1431,2232,26,4.12,67,94,1
315,Fabric,392,1698,16360,20,7.55,19,75,0
392,Yarn,300,1883,3442,29,3.01,47,90,0
198,Fabric,56,1589,17332,15,3.5,41,48,0
271,Yarn,268,1776,9929,13,3.73,71,74,1
459,Cotton,126,1728,5000,6,11.23,97,90,0
313,Ready-made garment,228,1230,15568,20,10.0,59,52,0
574,Ready-made garment,194,699,15726,21,6.78,50,87,0
134,Fabric,465,1117,665,15,6.77,56,43,0
548,Yarn,203,1424,13372,29,0.67,11,49,0
326,Ready-made garment,170,719,12719,6,7.79,51,97,0
200,Cotton,173,1169,19658,16,3.94,13,65,0
530,Cotton,199,176,10138,1,7.35,10,42,0
561,Cotton,446,828,5520,6,10.08,31,89,0
